,0,1,2,3,4,5
0,0,0,471,1129,1130,294
1,1131,1132,7,472,1133,1134
2,0,0,1135,241,1136,1137
3,0,0,0,0,80,677
4,0,0,149,7,352,1138
5,676,5,678,473,679,1139
6,0,0,353,295,1140,1141
7,0,0,0,80,1142,680
8,0,0,1143,1144,681,62
9,0,0,0,0,1145,63
10,0,1146,1147,6,122,474
11,0,0,242,70,1148,296
12,0,1149,1150,1151,11,150
13,0,0,0,11,475,24
14,0,0,0,682,71,476
15,0,0,0,354,57,683
16,0,2,1152,477,684,297
17,0,0,0,0,2,1153
18,0,0,0,0,1154,1155
19,0,0,131,355,1156,211
20,0,0,685,6,1157,1158
21,0,1159,29,1160,356,19
22,0,0,0,10,1161,84
23,0,0,298,40,357,25
24,0,0,0,1162,80,1163
25,0,0,0,0,478,5
26,0,0,1164,1165,686,479
27,0,7,81,1166,1167,6
28,682,71,476,354,57,683
29,0,0,0,0,1168,16
30,0,0,1169,52,110,43
31,0,1170,478,1171,1172,62
32,0,0,480,132,1173,103
33,0,0,2,358,15,1174
34,0,9,62,34,16,1175
35,243,299,24,1,11,52
36,0,0,481,357,244,18
37,0,2,1,687,94,688
38,0,0,36,16,15,1176
39,1177,359,482,1178,11,3
40,0,0,0,1,64,1179
41,0,0,1,245,245,300
42,0,0,1180,12,301,1181
43,212,23,1,151,11,352
44,0,0,12,52,680,1182
45,0,0,0,0,50,689
46,0,0,690,1183,58,246
47,0,0,131,133,360,361
48,0,20,483,12,49,213
49,0,12,244,10,94,1184
50,0,0,0,362,1185,2
51,0,484,104,691,1186,214
52,0,0,0,0,2,111
53,131,133,360,361,20,483
54,0,0,0,12,49,213
55,0,0,36,165,10,1187
56,10,215,10,9,3,8
57,0,0,60,1188,245,485
58,0,0,0,693,363,1189
59,53,23,76,29,11,694
60,0,0,0,9,3,6
61,0,0,0,112,302,486
62,0,2,23,1,52,134
63,65,45,364,1,31,1190
64,0,0,0,44,49,213
65,0,0,0,6,695,303
66,0,0,0,135,5,1191
67,0,0,0,7,9,60
68,0,0,696,1192,304,37
69,0,0,0,1193,1194,38
70,0,0,0,0,697,72
71,0,0,0,10,1195,1196
72,0,0,0,2,32,1197
73,0,0,0,67,4,1198
74,0,0,11,247,487,166
