,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,471.0,1129.0,1130.0,294.0,,,,,,,,,,,
1,676.0,5.0,1131.0,1132.0,7.0,472.0,1133.0,1134.0,,,,,,,
2,1135.0,241.0,1136.0,1137.0,,,,,,,,,,,
3,80.0,677.0,,,,,,,,,,,,,
4,149.0,7.0,352.0,1138.0,,,,,,,,,,,
5,676.0,5.0,678.0,473.0,679.0,1139.0,,,,,,,,,
6,353.0,295.0,1140.0,1141.0,,,,,,,,,,,
7,80.0,1142.0,680.0,,,,,,,,,,,,
8,1143.0,1144.0,681.0,62.0,,,,,,,,,,,
9,1145.0,63.0,,,,,,,,,,,,,
10,1146.0,1147.0,6.0,122.0,474.0,,,,,,,,,,
11,242.0,70.0,1148.0,296.0,,,,,,,,,,,
12,1149.0,1150.0,1151.0,11.0,150.0,,,,,,,,,,
13,11.0,475.0,24.0,,,,,,,,,,,,
14,682.0,71.0,476.0,,,,,,,,,,,,
15,354.0,57.0,683.0,,,,,,,,,,,,
16,2.0,1152.0,477.0,684.0,297.0,,,,,,,,,,
17,2.0,1153.0,,,,,,,,,,,,,
18,1154.0,1155.0,,,,,,,,,,,,,
19,131.0,355.0,1156.0,211.0,,,,,,,,,,,
20,685.0,6.0,1157.0,1158.0,,,,,,,,,,,
21,1159.0,29.0,1160.0,356.0,19.0,,,,,,,,,,
22,10.0,1161.0,84.0,,,,,,,,,,,,
23,298.0,40.0,357.0,25.0,,,,,,,,,,,
24,1162.0,80.0,1163.0,,,,,,,,,,,,
25,478.0,5.0,,,,,,,,,,,,,
26,1164.0,1165.0,686.0,479.0,,,,,,,,,,,
27,7.0,81.0,1166.0,1167.0,6.0,,,,,,,,,,
28,682.0,71.0,476.0,354.0,57.0,683.0,,,,,,,,,
29,1168.0,16.0,,,,,,,,,,,,,
30,1169.0,52.0,110.0,43.0,,,,,,,,,,,
31,1170.0,478.0,1171.0,1172.0,62.0,,,,,,,,,,
32,480.0,132.0,1173.0,103.0,,,,,,,,,,,
33,2.0,358.0,15.0,1174.0,,,,,,,,,,,
34,9.0,62.0,34.0,16.0,1175.0,,,,,,,,,,
35,243.0,299.0,24.0,1.0,11.0,52.0,,,,,,,,,
