,lyric,label
0,이제야 목적지를 정했지만,0
1,가려한 날 막아서네 난 갈 길이 먼데,0
2,새빨간 얼굴로 화를 냈던,0
3,친구가 생각나네,0
4,이미 난 발걸음을 떼었지만,0
5,가려한 날 재촉하네 걷기도 힘든데,0
6,새파랗게 겁에 질려 도망간,0
7,친구가 뇌에 맴도네,0
8,건반처럼 생긴 도로 위,0
9,수많은 동그라미들 모두가,0
10,멈췄다 굴렀다 말은 잘 들어,0
11,그건 나도 문제가 아냐,0
12,붉은색 푸른색 그 사이,0
13,3초 그 짧은 시간,0
14,노란색 빛을 내는,0
15,저기 저 신호등이,0
16,내 머릿속을 텅 비워버려,0
17,내가 빠른지도,0
18,느린지도 모르겠어,0
19,그저 눈앞이 샛노랄 뿐이야,0
20,솔직히 말하자면 차라리,0
21,운전대를 못 잡던 어릴 때가,0
22,더 좋았었던 것 같아,0
23,그땐 함께 온 세상을,0
24,거닐 친구가 있었으니,0
25,건반처럼 생긴 도로 위,0
26,수많은 조명들이 날 빠르게,0
27,번갈아 가며 비추고 있지만,0
28,난 아직 초짜란 말이야,0
29,붉은색 푸른색 그 사이,0
30,3초 그 짧은 시간,0
31,노란색 빛을 내는 저기 저 신호등이,0
32,내 머릿속을 텅 비워버려,0
33,내가 빠른지도,0
34,느린지도 모르겠어,0
35,그저 눈앞이 샛노랄 뿐이야,0
36,꼬질꼬질한 사람이나,0
37,부자 곁엔 아무도 없는,0
38,삼색 조명과 이색 칠 위에,0
39,서 있어 괴롭히지 마,0
40,붉은색 푸른색 그 사이,0
41,3초 그 짧은 시간,0
42,노란색 빛을 내는 저기 저 신호등이,0
43,내 머릿속을 텅 비워버려,0
44,내가 빠른지도,0
45,느린지도 모르겠어,0
46,그저 눈앞이 샛노랄 뿐이야,0
47,내가 너라면 다 알아볼 텐데,0
48,널 위할 사람 찾아낼 텐데,0
49,지난 오랜 시간 너의 그 곁을,0
50,지켜온 나라는 걸,0
51,내가 너였다면 참 행복할 텐데,0
52,한 사람을 다 가졌으니까,0
53,둔한 바보도 눈치챌 그 사랑을,0
54,너만 왜 모르니,0
55,너를 바라만 바라만 본다,0
56,외쳐 네 이름만 부른다,0
57,보고 싶은 맘에 너를 향한 그 발걸음,0
58,네 곁을 맴도는데,0
59,오늘도 그리고 그리워하다,0
60,애써 참았던 눈물이 흘러,0
61,그저 멀리서만 바라보다,0
62,또 소리쳐 네가 보고 싶다,0
63,네가 나라면 더 참 아팠을 텐데,0
64,슬픈 역할은 내가 맡을게,0
65,웃는 모습만 보이며 살아가 줘,0
66,내가 볼 수 있게,0
67,너를 바라만 바라만 본다,0
68,외쳐 네 이름만 부른다,0
69,보고 싶은 맘에 너를 향한 그 발걸음,0
70,네 곁을 맴도는데,0
71,오늘도 그리고 그리워하다,0
72,애써 참았던 눈물이 흘러,0
73,그저 멀리서만 바라보다 또 소리쳐,0
74,네가 보고 싶다,0
75,한 걸음 더 다가갈까,0
76,어제보다 더 내일 더 널 사랑해,0
77,혼자 바라고 바라만 보다,0
78,울컥 그리움이 솟는다,0
79,바보 같은 맘에 하지 못한 그 한마디,0
80,널 사랑한다는 말,0
81,얼마나 그리고 그리워해야,0
82,내 맘 너의 곁에 닿게 될까,0
83,매일 하루 종일 너의 생각에 사무쳐,0
84,너무 보고 싶다,0
85,말했잖아 언젠가,0
86,이런 날이 온다면,0
87,난 널 혼자,0
88,내버려두지 않을 거라고,0
89,"죄다 낭떠러지야, 봐",0
90,예상했던 것보다,0
91,더 아플지도 모르지만,0
92,내 손을 잡으면,0
93,하늘을 나는 정도,0
94,그 이상도 느낄 수 있을 거야,0
95,눈 딱 감고 낙하- 하-,0
96,믿어 날 눈 딱 감고 낙하,0
97,눈 딱 감고 낙하- 하-,0
98,믿어 날 눈 딱 감고 낙하,0
